horizon,split,quantity,point,ci_lo,ci_hi,excludes_0,block_days,n_boot
1,temporal,d_bio_pr,-6e-04,-0.0209,0.0207,FALSE,30,1000
1,temporal,d_bio_p80,0.022,-0.0318,0.0435,FALSE,30,1000
3,temporal,rf_pr,0.6555,0.5514,0.7542,TRUE,30,1000
3,temporal,rf_p80,0.4957,0.3565,0.6494,TRUE,30,1000
3,temporal,d_rf_pers,0.0744,0.0086,0.1339,TRUE,30,1000
3,temporal,d_rf_tf,0.007,-0.0335,0.0349,FALSE,30,1000
3,temporal,d_wind_pr,0.0144,-0.0012,0.0243,FALSE,30,1000
3,temporal,d_bio_pr,-0.0042,-0.0245,0.0198,FALSE,30,1000
3,temporal,d_bio_p80,0.0641,-0.0275,0.1125,FALSE,30,1000
5,temporal,rf_pr,0.6729,0.5365,0.7637,TRUE,30,1000
5,temporal,rf_p80,0.4652,0.2682,0.6307,TRUE,30,1000
5,temporal,d_rf_pers,0.1557,0.0788,0.214,TRUE,30,1000
5,temporal,d_rf_tf,0.0442,0.0028,0.0794,TRUE,30,1000
5,temporal,d_wind_pr,0.0128,-0.0029,0.0288,FALSE,30,1000
5,temporal,d_bio_pr,-0.0261,-0.0437,-0.0034,TRUE,30,1000
5,temporal,d_bio_p80,-0.0061,-0.071,0.0577,FALSE,30,1000
7,temporal,rf_pr,0.5012,0.3903,0.5906,TRUE,30,1000
7,temporal,rf_p80,0.275,0.1727,0.3888,TRUE,30,1000
7,temporal,d_rf_pers,0.0659,0.0211,0.109,TRUE,30,1000
7,temporal,d_rf_tf,-0.0017,-0.0368,0.0273,FALSE,30,1000
7,temporal,d_wind_pr,0.0052,-0.005,0.0175,FALSE,30,1000
7,temporal,d_bio_pr,-0.0178,-0.0352,8e-04,FALSE,30,1000
7,temporal,d_bio_p80,-0.0022,-0.0279,0.0281,FALSE,30,1000
14,temporal,rf_pr,0.4593,0.3311,0.5516,TRUE,30,1000
14,temporal,rf_p80,0.2295,0.1399,0.3354,TRUE,30,1000
14,temporal,d_rf_pers,0.1432,0.0795,0.1964,TRUE,30,1000
14,temporal,d_rf_tf,0.0113,-0.0233,0.0325,FALSE,30,1000
14,temporal,d_wind_pr,0.0144,0.0045,0.0244,TRUE,30,1000
14,temporal,d_bio_pr,-0.0184,-0.0357,-0.0029,TRUE,30,1000
14,temporal,d_bio_p80,-0.0087,-0.0345,0.0087,FALSE,30,1000
1,temporal,rf_roc,0.8964,0.8716,0.9201,TRUE,30,1000
1,temporal,pers_roc,0.8637,0.8431,0.8847,TRUE,30,1000
1,temporal,d_rf_pers_roc,0.0327,0.0121,0.0569,TRUE,30,1000
1,temporal,chl_roc,,,,,30,0
1,temporal,d_rf_chl_roc,,,,,30,0
3,temporal,rf_roc,0.8715,0.8422,0.901,TRUE,30,1000
3,temporal,pers_roc,0.827,0.7915,0.8592,TRUE,30,1000
3,temporal,d_rf_pers_roc,0.0446,0.0172,0.0709,TRUE,30,1000
3,temporal,chl_roc,,,,,30,0
3,temporal,d_rf_chl_roc,,,,,30,0
5,temporal,rf_roc,0.8744,0.8342,0.9044,TRUE,30,1000
5,temporal,pers_roc,0.8007,0.7672,0.8246,TRUE,30,1000
5,temporal,d_rf_pers_roc,0.0738,0.0452,0.0991,TRUE,30,1000
5,temporal,chl_roc,,,,,30,0
5,temporal,d_rf_chl_roc,,,,,30,0
7,temporal,rf_roc,0.836,0.7999,0.8667,TRUE,30,1000
7,temporal,pers_roc,0.7873,0.7579,0.8111,TRUE,30,1000
7,temporal,d_rf_pers_roc,0.0487,0.0248,0.0749,TRUE,30,1000
7,temporal,chl_roc,,,,,30,0
7,temporal,d_rf_chl_roc,,,,,30,0
14,temporal,rf_roc,0.8155,0.7672,0.8595,TRUE,30,1000
14,temporal,pers_roc,0.7287,0.6829,0.7693,TRUE,30,1000
14,temporal,d_rf_pers_roc,0.0868,0.0522,0.1234,TRUE,30,1000
14,temporal,chl_roc,,,,,30,0
14,temporal,d_rf_chl_roc,,,,,30,0
