date,yr,mo,files_got,files_expected,n_cells,chl_na_pct,cloud_pct,chl_valid_px,sst_na_pct,nflh_na_pct,kd_na_pct
2021-01-01,2021,1,4,4,4743,58.3175205566097,48.4925152856842,1.89455925769724,49.3358633776091,78.5578747628084,58.3175205566097
2021-01-11,2021,1,4,4,4743,99.1144845034788,96.921779464474,0.0265710670603123,96.9428631667721,99.1144845034788,99.1144845034788
2021-01-21,2021,1,4,4,4743,59.6668775036897,55.7874762808349,1.81484605651625,64.1155386885937,59.7512123128821,59.6668775036897
2021-02-01,2021,2,4,4,4743,99.831330381615,89.6268184693232,0.00485027414592982,89.6268184693232,99.831330381615,99.831330381615
2021-02-11,2021,2,4,4,4743,47.6702508960574,33.9025932953827,2.30198228595528,34.0290955091714,80.9192494201982,47.6702508960574
2021-02-21,2021,2,4,4,4743,73.0128610584019,63.1878557874763,1.21615352172079,63.1878557874763,72.9917773561037,72.9917773561037
2021-03-01,2021,3,4,4,4743,45.9835547122075,39.7849462365591,2.51623787431455,40.1644528779254,71.8532574320051,45.9835547122075
2021-03-11,2021,3,4,4,4743,35.5260383723382,30.1496942863167,3.01012231126108,30.3394476069998,44.7606999789163,35.5260383723382
2021-03-21,2021,3,4,4,4743,95.5302551127978,68.9015391102678,0.175875158161118,68.9015391102678,95.8675943495678,95.5302551127978
2021-04-01,2021,4,4,4,4743,72.8231077377188,67.6365169723804,1.33024040489245,67.6365169723804,73.2236980813831,72.8020240354206
2021-04-11,2021,4,4,4,4743,91.2502635462787,76.1754164031204,0.343315056938003,76.4916719375923,100,91.2502635462787
2021-04-21,2021,4,4,4,4743,67.910605102256,56.0193970061143,1.54006748207511,56.8416613957411,83.8288003373392,67.910605102256
2021-05-01,2021,5,4,4,4743,95.9519291587603,80.3289057558507,0.150358498523827,81.4463419776513,96.5633565254059,95.9519291587603
2021-05-11,2021,5,4,4,4743,99.6204933586338,71.8321737297069,0.0132855335301551,71.8321737297069,100,99.6204933586338
2021-05-21,2021,5,4,4,4743,58.1488509382248,52.9833438751845,1.97785744411644,57.4741724646848,63.4619439173519,58.1488509382248
2021-06-01,2021,6,4,4,4743,70.4406493780308,29.7912713472486,1.40046393926611,31.3514653173097,83.449293695973,70.4406493780308
2021-06-11,2021,6,4,4,4743,83.1330381615012,67.1937592241198,0.745676929565577,68.2690280413241,83.2173729706937,83.1330381615012
2021-06-21,2021,6,4,4,4743,87.6027830487034,72.0430107526882,0.529312526360198,73.1393632721906,99.7891629770188,87.6027830487034
2021-07-01,2021,7,4,4,4743,58.6548597933797,57.6639257853679,1.75579924082667,66.4979970482817,66.3504111321948,58.6548597933797
2021-07-11,2021,7,4,4,4743,94.7923255323635,69.281045751634,0.192323913960349,69.4286316677209,94.8977440438541,94.8344929369597
2021-07-21,2021,7,4,4,4743,94.9399114484503,38.9626818469323,0.204765921552091,39.0470166561248,99.7891629770188,94.9399114484503
2021-08-01,2021,8,4,4,4743,52.6460046384145,34.5983554712208,2.13791649093203,34.809192494202,67.7841028884672,52.6460046384145
2021-08-11,2021,8,4,4,4743,44.4444444444444,33.2911659287371,2.54112188949812,34.4929369597301,59.9620493358634,44.5498629559351
2021-08-21,2021,8,4,4,4743,96.5633565254059,75.3109846088973,0.125896246309571,76.1332489985241,96.584440227704,96.5633565254059
2021-09-01,2021,9,4,4,4743,98.6928104575163,82.6481130086443,0.0470265710670599,82.6481130086443,98.6928104575163,98.6928104575163
2021-09-11,2021,9,4,4,4743,96.7952772506852,94.8977440438541,0.117671868409951,94.9399114484503,97.1747838920514,96.7952772506852
2021-09-21,2021,9,4,4,4743,50.0527092557453,43.4324267341345,2.30873049346266,45.3088762386675,67.2991777356104,50.1370440649378
2021-10-01,2021,10,4,4,4743,86.864853468269,74.5098039215686,0.547026571067068,75.0368964790217,86.9070208728653,86.864853468269
2021-10-11,2021,10,4,4,4743,48.0286738351255,43.1372549019608,2.37811050189793,44.2546911237613,50.9803921568627,48.0286738351255
2021-10-21,2021,10,4,4,4743,48.977440438541,41.5981446341978,2.26845212990303,42.146320893949,49.3358633776091,49.2304448661185
2021-11-01,2021,11,4,4,4743,64.2631246046806,57.2422517394054,1.48228595529309,59.898798228969,75.2688172043011,64.2842083069787
2021-11-11,2021,11,4,4,4743,87.539531941809,83.4071262913768,0.485238296077615,84.0607210626186,87.5606156441071,87.539531941809
2021-11-21,2021,11,4,4,4743,83.0276196500105,65.9919881931267,0.646351750316323,66.0552393000211,83.2173729706937,83.0697870546068
2021-12-01,2021,12,4,4,4743,37.887413029728,35.3995361585494,2.93821172501061,35.8212102045119,38.1615011596036,38.0771663504111
2021-12-11,2021,12,4,4,4743,91.8406072106262,50.1370440649378,0.302614930409113,50.1792114695341,91.8406072106262,91.8406072106262
2021-12-21,2021,12,4,4,4743,88.0666244992621,78.6843769765971,0.445170814002546,78.9795488087708,99.8524140839131,88.1087919038583
2022-01-01,2022,1,4,4,4743,48.808770820156,33.1857474172465,2.3983551244201,33.1857474172465,48.8298545224541,48.808770820156
2022-01-11,2022,1,4,4,4743,60.6367278094033,52.5827535315201,1.7640236187263,52.899009065992,66.8775036896479,60.6578115117015
2022-01-21,2022,1,4,4,4743,99.5572422517394,95.6567573265865,0.0158161113454245,95.6567573265865,99.5572422517394,99.5572422517394
2022-02-01,2022,2,4,4,4743,63.2721905966688,60.4258907864221,1.60670603121045,63.5251950242463,63.3354417035632,63.3354417035632
2022-02-11,2022,2,4,4,4743,73.6242884250475,54.9652118912081,1.21762969211303,55.9983133038162,73.9194602572212,73.6242884250475
2022-02-21,2022,2,4,4,4743,42.3360742146321,31.6044697448872,2.68051455082245,31.6466371494835,79.696394686907,42.3993253215265
2022-03-01,2022,3,4,4,4743,92.5152856841662,67.6786843769766,0.303036693378324,68.3744465528147,92.5152856841662,92.5152856841662
2022-03-11,2022,3,4,4,4743,77.9675310984609,49.820788530466,1.01223112610716,49.820788530466,99.9578325954037,77.9675310984609
2022-03-21,2022,3,4,4,4743,42.3782416192283,31.6466371494835,2.77962884858713,32.7008222643896,47.9232553236348,42.3993253215265
2022-04-01,2022,4,0,4,4743,,100,,,,
2022-04-11,2022,4,0,4,4743,,100,,,,
2022-04-21,2022,4,4,4,4743,94.0543959519292,65.1064726966055,0.239139603542816,65.1275563989037,100,94.0543959519292
2022-05-01,2022,5,4,4,4743,47.5015812776724,34.0712629137677,2.44959932517929,34.8513598987982,61.1638203668564,47.5226649799705
