horizon,split,model,recall,pr_auc,roc_auc,precision,f1,fnr,accuracy,n_test,n_train,n_pos,tp,fp,fn,tn,pos_rate_train,prec_at_recall80
14,random,rf,0.4668,0.5841,0.9049,0.6197,0.5325,0.5332,0.9353,4779,19110,377,176,108,201,4294,0.021,0.3545
14,random,transformer,0.7798,0.5206,0.8913,0.3559,0.4888,0.2202,0.8713,4779,19110,377,294,532,83,3870,0.0787,
14,spatial,chl_only,0.051,0.1167,0.5014,0.1713,0.0786,0.949,0.8641,6388,15557,726,37,179,689,5483,0.0475,0.1199
14,spatial,persistence,0.6336,0.4382,0.7925,0.6259,0.6297,0.3664,0.9153,6388,15557,726,460,275,266,5387,0.0475,0.1137
14,spatial,rf,0.2176,0.624,0.8897,0.794,0.3416,0.7824,0.9047,6388,15557,726,158,41,568,5621,0.0475,0.4219
14,spatial,transformer,0.832,0.5965,0.8973,0.4203,0.5585,0.168,0.8505,6388,17501,726,604,833,122,4829,0.066,
14,temporal,chl_only,0.0683,0.1217,0.5263,0.1988,0.1017,0.9317,0.8649,9021,14819,1010,69,278,941,7733,0.0674,0.1134
14,temporal,persistence,0.5228,0.3161,0.7287,0.5024,0.5124,0.4772,0.8886,9021,14819,1010,528,523,482,7488,0.0674,0.112
14,temporal,rf,0.2574,0.4589,0.8155,0.6005,0.3604,0.7426,0.8977,9021,14819,1010,260,173,750,7838,0.0674,0.2295
14,temporal,transformer,0.7089,0.4526,0.806,0.2676,0.3885,0.2911,0.7501,9021,14868,1010,716,1960,294,6051,0.0586,
1,temporal,arm_a,,0.3763,0.823,,,,,21535,34334,1972,,,,,,0.208
1,temporal,arm_b,,0.5893,0.9368,,,,,21535,34334,1972,,,,,,0.4931
1,temporal,arm_a_chlpers,,0.1169,0.6,,,,,21535,34334,1972,,,,,,0.0916
1,temporal,arm_b_richpers,,0.5903,0.9218,,,,,21535,34334,1972,,,,,,0.4575
1,random,arm_a,,0.5648,0.9164,,,,,11175,44697,850,,,,,,0.3363
1,random,arm_b,,0.6385,0.9542,,,,,11175,44697,850,,,,,,0.4985
1,random,arm_a_chlpers,,0.1981,0.6825,,,,,11175,44697,850,,,,,,0.102
1,random,arm_b_richpers,,0.5622,0.9249,,,,,11175,44697,850,,,,,,0.4096
3,temporal,arm_a,,0.3644,0.8157,,,,,21404,34039,1970,,,,,,0.1984
3,temporal,arm_b,,0.5543,0.9292,,,,,21404,34039,1970,,,,,,0.4657
3,temporal,arm_a_chlpers,,0.1132,0.5797,,,,,21404,34039,1970,,,,,,0.092
3,temporal,arm_b_richpers,,0.5657,0.9104,,,,,21404,34039,1970,,,,,,0.4279
3,random,arm_a,,0.5664,0.9144,,,,,11090,44357,843,,,,,,0.3327
3,random,arm_b,,0.6333,0.9525,,,,,11090,44357,843,,,,,,0.4832
3,random,arm_a_chlpers,,0.1884,0.6742,,,,,11090,44357,843,,,,,,0.0983
3,random,arm_b_richpers,,0.5422,0.9158,,,,,11090,44357,843,,,,,,0.3844
5,temporal,arm_a,,0.343,0.8038,,,,,21380,34131,1929,,,,,,0.1912
5,temporal,arm_b,,0.5346,0.9205,,,,,21380,34131,1929,,,,,,0.4323
5,temporal,arm_a_chlpers,,0.1089,0.57,,,,,21380,34131,1929,,,,,,0.0902
5,temporal,arm_b_richpers,,0.5397,0.8988,,,,,21380,34131,1929,,,,,,0.3947
5,random,arm_a,,0.5401,0.9058,,,,,11111,44438,838,,,,,,0.3105
5,random,arm_b,,0.6149,0.9425,,,,,11111,44438,838,,,,,,0.442
5,random,arm_a_chlpers,,0.1943,0.6692,,,,,11111,44438,838,,,,,,0.0955
5,random,arm_b_richpers,,0.5341,0.9062,,,,,11111,44438,838,,,,,,0.3237
7,temporal,arm_a,,0.3324,0.7959,,,,,21323,34239,1923,,,,,,0.1796
7,temporal,arm_b,,0.4892,0.8986,,,,,21323,34239,1923,,,,,,0.3619
7,temporal,arm_a_chlpers,,0.1043,0.553,,,,,21323,34239,1923,,,,,,0.0902
