rank,feature,category,mean_abs_shap
112,nflh_delta_1d,TREND,0.000240223823487108
113,nflh_delta_7d_is_missing,TREND,0.000237797895847098
114,nflh_delta_3d,TREND,0.000236118522521819
115,Kd_490_pct_chg_7d_is_missing,TREND,0.000224734742689326
116,Kd_490_delta_7d_is_missing,TREND,0.000223428292980424
117,chlor_a_delta_1d_is_missing,TREND,0.000218333701505161
118,nflh_delta_1d_is_missing,TREND,0.000211635487920232
119,chlor_a_pct_chg_7d_is_missing,TREND,0.000206013008783515
120,chlor_a_pct_chg_1d_is_missing,TREND,0.000196703695275118
121,nflh_delta_5d_is_missing,TREND,0.000195348452592533
122,Kd_490_delta_3d_is_missing,TREND,0.000188835156420944
123,nflh_pct_chg_7d_is_missing,TREND,0.000187972551560789
124,sst_slope_obs7,TREND,0.000186915587448727
125,nflh_pct_chg_5d_is_missing,TREND,0.000166240109315412
126,Kd_490_pct_chg_3d_is_missing,TREND,0.000143544039078863
127,nflh_pct_chg_1d_is_missing,TREND,0.000140959190035801
128,chlor_a_pct_chg_3d_is_missing,TREND,0.000137631232708374
129,chlor_a_delta_3d_is_missing,TREND,0.000126973532129445
130,nflh_delta_3d_is_missing,TREND,0.000119419642214884
131,nflh_pct_chg_3d_is_missing,TREND,0.000118820023874277
132,sst_slope_obs7_is_missing,TREND,0.00010084770232264
133,Kd_490_slope_obs5,TREND,6.46115476190476e-05
134,chlor_a_slope_obs5,TREND,4.76505345471521e-05
135,chlor_a_slope_obs5_is_missing,TREND,2.80240532379406e-05
136,Kd_490_slope_obs5_is_missing,TREND,9.59916666666669e-06
137,chlor_a_above10pct_consec,TREND,7.99388888888886e-06
138,nflh_slope_obs5_is_missing,TREND,5.54164983164989e-06
139,chlor_a_slope_obs7,TREND,4.8249999999999e-06
140,Kd_490_slope_obs7_is_missing,TREND,3.49999999999995e-06
141,chlor_a_slope_obs7_is_missing,TREND,2.43055555555559e-06
142,Kd_490_slope_obs7,TREND,2.00000000000006e-06
143,nflh_slope_obs5,TREND,1.87500000000002e-06
144,nflh_slope_obs7,TREND,0
145,nflh_slope_obs7_is_missing,TREND,0
146,precip_is_placeholder,LEVEL,0
147,salinity_is_placeholder,LEVEL,0
148,state_fips,LEVEL,0
149,wind_is_placeholder,LEVEL,0
